,Location,Average Salary by Location ($CLP),Occupation,Average Salary for Each Occupation by Location($CLP),Average National Salary for Each Occupation ($CLP)
533,"Perrysburg, Sylvania & Maumee Cities PUMA, OH",101198649.32579148,Chemical engineers,747753684.084507,193520353.50678676
534,"Washington County PUMA, RI",101179323.6056919,Aircraft pilots & flight engineers,823489830.0,233771261.06901407
535,"Matthews Town (South) PUMA, NC",101108389.36709002,"Lawyers, & judges, magistrates, & other judicial workers",695398813.0384616,251695543.47547695
536,"Passaic & Clifton (Southeast) Cities PUMA, NJ",101076802.0708783,Cardiovascular technologists and technicians,1304883126.3396227,155301057.0999721
537,"I-94 Corridor PUMA, MI",101075709.83089992,Tax preparers,572300375.9,59811148.11539154
538,"DeKalb CountyDecatur & Avondale Estates Cities PUMA, GA",101016184.04890445,Surgeons,964835102.6086956,571660495.1726127
539,"South of I-10 & West of TX-6 PUMA, TX",100918076.00235194,"Industrial engineers, including health & safety",958689646.8000001,147532692.77462214
540,"Bath City & Brunswick PUMA, ME",100875383.60509509,Podiatrists,729259642.4,228034384.44743314
541,"Worcester County (West Central) PUMA, MA",100874909.04625209,Magnetic resonance imaging technologists,1270058858.5945947,203515513.71080974
542,"Essex County (Northeast) PUMA, NJ",100869291.0771225,Firstline supervisors of construction trades & extraction workers,549713467.479452,106833302.0637394
543,"Glendora, Claremont, San Dimas & La Verne Cities PUMA, CA",100817235.45661451,Physicians,795493909.0632911,418213885.2623563
544,"Williamson County (West)Cedar Park & Leander Cities PUMA, TX",100795260.54553059,Surgeons,958689622.0408163,571660495.1726127
545,"Lake Stevens & Monroe Cities PUMA, WA",100768938.18755426,Physical therapists,512120544.2553191,127192463.74649844
546,"Severn, Odenton, Crofton, Maryland City & Fort Meade PUMA, MD",100764840.738065,Physicians,534558303.4567901,418213885.2623563
547,"East Baton Rouge Parish (South) PUMA, LA",100731377.6343054,Architectural & engineering managers,794811059.9039999,271146679.44610673
548,"Sussex County PUMA, NJ",100729705.9006238,Ship & boat captains & operators,1304883168.56,118805172.783943
549,"Pompano Beach (South) & Fort Lauderdale (Northeast) Cities PUMA, FL",100679013.65545353,Sales engineers,975077545.7704918,219954122.53236544
550,"Madison & Yazoo Counties PUMA, MS",100677244.61113904,Physicians,646576907.3513514,418213885.2623563
551,"Brookhaven Town (South) PUMA, NY",100672661.46469478,Computer network architects,467053937.48242813,192965510.23446938
552,"Dane County (East) PUMA, WI",100616268.36760664,Producers & directors,899283678.5625,131553561.66417725
553,"Costa Mesa & Fountain Valley Cities PUMA, CA",100516429.73751377,Physician assistants,1157392472.1081083,186531725.38923976
554,"Wayne County (Northwest) PUMA, MI",100479029.72772886,Financial analysts,874701832.8000001,201459377.03718996
555,"Bountiful, Farmington & North Salt Lake Cities PUMA, UT",100411846.30084606,Physicians,860362546.2352942,418213885.2623563
556,"Shawnee, Lenexa & De Soto Cities PUMA, KS",100374402.85404995,"Business operations specialists, all other",430181274.38297874,121531236.01207739
557,"San Jose City (East Central) & Alum Rock PUMA, CA",100356003.46039425,"Sales representatives of services, except advertising, insurance, financial services, and travel",614544632.4230769,152470294.37031612
558,"Mount Pleasant Town PUMA, SC",100336118.2266853,Surgeons,862411005.3877549,571660495.1726127
559,"Oakland County (West) PUMA, MI",100286953.86625874,Dentists,874701871.3142858,258225172.68799314
560,"Algonquin, McHenry & Nunda Townships PUMA, IL",100266268.21904828,Other financial specialists,1112325869.2941175,198319233.27190593
561,"Perry Hall, Middle River & Rosedale PUMA, MD",100198864.39739484,Physicians,391696756.47648895,418213885.2623563
562,"Tuckahoe, Short Pump & Wyndham PUMA, VA",100185169.66230415,Dentists,752576593.6912751,258225172.68799314
563,"Between Loop I-610 & Beltway TX-8 PUMA, TX (79500US4804615)",100175306.56100988,"Securities, commodities, & financial services sales agents",650679302.6470587,235476111.74532747
564,"LA City (West Central/Westwood & West Los Angeles) PUMA, CA",100140407.82259396,"Broadcast & sound engineering technicians & radio operators, & media & communication equipment workers, all other",966663725.9491526,82911905.803255
565,"Chatham & Lee Counties PUMA, NC",100134736.9993627,Electrical powerline installers & repairers,846023115.4064516,132427637.0014905
566,"Nueces CountyCorpus Christi City (Outer) PUMA, TX",100133328.09290092,Nurse anesthetists,958689675.3939395,278728431.6744965
567,"Arcadia, San Gabriel & Temple City Cities PUMA, CA",100086691.38026865,Other financial specialists,1157392448.3478262,198319233.27190593
568,"Fort Lauderdale City (Central) PUMA, FL",100065127.78648366,Industrial production managers,713297889.6685714,156312696.47488225
569,"Austin City (Far North), Brushy Creek & Jollyville PUMA, TX",100062934.692405,Physicians,623929379.035514,418213885.2623563
570,"Burbank City PUMA, CA",100023916.08102219,"Entertainers & performers, sports & related workers, all other",512120540.6197183,42393760.815470114
571,"Platte County PUMA, MO",100001562.21261993,Personal financial advisors,852168515.347826,224327492.92839324
572,"Inland Region PUMA, CA",99957298.81561641,"Lawyers, & judges, magistrates, & other judicial workers",1157392429.557252,251695543.47547695
573,"Brookhaven Town (West Central) PUMA, NY",99939910.48022571,Physicians,769490838.7674419,418213885.2623563
574,"Elk Grove City PUMA, CA",99931047.72345412,Real estate brokers & sales agents,514201827.0703125,86949545.40354295
575,"Murrieta & Wildomar Cities PUMA, CA",99924930.3796715,Physicians,902092717.6633663,418213885.2623563
576,"Philadelphia City (Southeast) PUMA, PA",99904552.39499995,Physicians,995562365.0742856,418213885.2623563
577,"Monroe County (East) PUMA, NY",99896239.88753629,"Miscellaneous first-line supervisors, protective service workers",1351998168.0,114652034.78791162
578,"Fort Worth City (West) PUMA, TX",99875663.84222744,Insurance sales agents,958689771.2307694,108894176.09057176
579,"New Orleans City (South) PUMA, LA",99869519.84048988,"Securities, commodities, & financial services sales agents",794811068.7272729,235476111.74532747
580,"Noblesville City & Fishers Town (East) PUMA, IN",99865875.31021206,Surgeons,843974642.8717948,571660495.1726127
581,"District of Columbia (East) PUMA, DC",99856803.42839961,Licensed practical & licensed vocational nurses,649737260.7194245,63465883.870572835
582,"Concord, Kannapolis Cities & Harrisburg Town PUMA, NC",99825272.0797417,Web developers,846023094.2857141,102997569.66222127
583,"Kendall (North), Sunset & Westwood Lakes PUMA, FL",99748887.07340756,Management analysts,667842365.3575318,144421115.31703618
584,"Olathe, Gardner, Spring Hill & Edgerton Cities PUMA, KS",99725832.8775293,Aircraft pilots & flight engineers,899283629.7721521,233771261.06901407
585,"Bucks County (Southwest) PUMA, PA",99720643.38269328,Construction managers,995562352.0417755,125294177.04186851
586,"Bethlehem (East) & Easton Cities PUMA, PA",99694596.66016047,Podiatrists,995562334.6849315,228034384.44743314
587,"Albany County (Outside Albany City) PUMA, NY",99690256.4644322,Surgeons,1351998200.4819276,571660495.1726127
588,"Omaha City (Southwest) PUMA, NE",99684517.02995625,Radiologic technologists and technicians,880847369.8867925,114721489.09384273
589,"Benton County PUMA, AR",99641173.50398755,Veterinarians,864459483.7090908,171603331.8240765
590,"Davie Town & Cooper City PUMA, FL",99626962.69845209,Surgeons,975077519.862069,571660495.1726127
591,"Clermont County (West) PUMA, OH",99607554.24442802,Sales managers,884944294.9253731,215569207.83716124
592,"Irving Park, Albany Park, Forest Glen & North Park PUMA, IL",99604414.86719038,Chief executives & legislators,601830421.0266666,285675917.3191395
593,"Henderson (East) & Boulder Cities PUMA, NV",99525201.46848898,Physicians,765633053.9784946,418213885.2623563
594,"Aventura City & Surfside Town PUMA, FL",99452887.07577166,Social & community service managers,975077552.4,109007660.97080216
595,"LA City (Northwest/Chatsworth & Porter Ranch) PUMA, CA",99402013.42334509,Athletes and sports competitors,614544680.64,93844429.49892953
596,"Federal Way, Des Moines Cities & Vashon Island PUMA, WA",99384612.47161847,Surgeons,1067259210.212766,571660495.1726127
597,"Pelham Parkway, Morris Park & Laconia PUMA, NY",99330319.65517795,"Heating, air conditioning, & refrigeration mechanics & installers",395357051.7209301,77601917.58451673
598,"Carteret Borough PUMA, NJ",99286323.43093623,"Lawyers, & judges, magistrates, & other judicial workers",624787077.0309279,251695543.47547695
599,"Manchester & East Hartford Towns PUMA, CT",99267712.85371368,Dentists,1470810079.2,258225172.68799314
600,"Kent County (Southeast) PUMA, MI",99114969.57656074,Reservation & transportation ticket agents & travel clerks,874701832.8000001,68162467.1715784
601,"Butler County PUMA, PA",99100959.36121716,Mechanical engineers,995562400.2253522,157560862.9943854
602,"Fairfield & Suisun City Cities PUMA, CA",99073824.34208028,Marketing managers,409696426.8,170966876.03049782
603,"Camarillo & Moorpark Cities PUMA, CA",99007901.35473505,Firstline supervisors of fire fighting & prevention workers,655514251.3170732,159931421.3615573
604,"Denver City (Southeast) PUMA, CO",98978103.22956735,Radiologic technologists and technicians,556549823.4222223,114721489.09384273
605,"Gwinnett County (North)Sugar Hill City PUMA, GA",98843586.15772526,Chief executives & legislators,350691171.2995896,285675917.3191395
606,"Milwaukee County (Northeast) PUMA, WI",98831915.18616745,Veterinarians,899283653.5813953,171603331.8240765
607,"San Diego City (Central/Centre City & Balboa Park) PUMA, CA",98826645.03500777,Medical & health services managers,1157392432.3636365,150928545.6935578
608,"Worcester & Middlesex Counties (Outside Leominster, Fitchburg & Gardner Cities) PUMA, MA",98825873.74887891,Actuaries,614544621.8181818,265049587.04010835
609,"Buena Park, Cypress & Seal Beach Cities PUMA, CA",98805642.30168347,Market research analysts & marketing specialists,1157392445.2631578,136965985.46571857
610,"Sweetwater RegionChula Vista City (East) PUMA, CA",98687344.72470348,Nurse anesthetists,409696441.77777785,278728431.6744965
611,"Brandermill & Woodlake PUMA, VA",98640688.19689202,Cardiovascular technologists and technicians,450666087.34883726,155301057.0999721
612,"George Washington Regional Commission (South) PUMA, VA",98628476.46276186,Architectural & engineering managers,1024241067.0,271146679.44610673
613,"Tampa City (South) PUMA, FL",98573061.54606412,Advertising & promotions managers,975077533.1428572,138556291.17714074
614,"Tempe (South) & Chandler (Northwest) Cities PUMA, AZ",98571178.12729988,Personal financial advisors,843974615.7142859,224327492.92839324
615,"Cutler Bay Town & Palmetto Bay Village PUMA, FL",98502109.53037955,"Securities, commodities, & financial services sales agents",975077515.6363636,235476111.74532747
616,"San Antonio (Far Northwest) & Helotes Cities PUMA, TX",98480336.53479938,Psychiatric technicians,532605356.41558444,57756717.6112479
617,"Carrollton (North) & Dallas (North) Cities PUMA, TX",98455560.40354808,Stationary engineers & boiler operators,958689646.8000001,107050840.99238378
618,"Porter County PUMA, IN",98448327.06294025,Automotive body & related repairers,843974672.9275361,65844831.1533286
619,"Erie County (Northeast) PUMA, NY",98422001.24158177,Fundraisers,1351998168.0,105716298.90259945
620,"Vacaville & Dixon Cities PUMA, CA",98394593.26269925,Physicians,614544629.5578947,418213885.2623563
621,"Gilbert Town (North) PUMA, AZ",98380023.40734689,Dentists,642853995.9344263,258225172.68799314
622,"Astoria & Long Island City PUMA, NY",98317208.96306077,Firstline supervisors of nonretail sales workers,333682496.80165285,143109662.6477693
623,"Houston (Southeast), Pasadena (Southeast), La Porte (South) & Seabrook (East) Cities PUMA, TX",98307168.29417223,"Educational, guidance, and career counselors and advisors",606350730.1730769,85472526.74897332
624,"Olmsted Township, Bay Village, North Olmsted & Westlake Cities PUMA, OH",98297965.79335539,Radiologic technologists and technicians,884944302.6857142,114721489.09384273
625,"El Dorado Hills PUMA, CA",98293409.16872577,Physicians,772791514.0815047,418213885.2623563
626,"Tigard, Tualatin & Sherwood Cities PUMA, OR",98240661.82395579,Computer network architects,835780658.1,192965510.23446938
627,"Rancho Cucamonga City PUMA, CA",98229668.44549605,Physicians,720162848.5239086,418213885.2623563
628,"Rocklin, Lincoln Cities & Loomis Town PUMA, CA",98217386.53240699,Diagnostic medical sonographers,614544647.1724138,149349949.37101868
629,"Seaside, Monterey, Marina & Pacific Grove Cities PUMA, CA",98199053.60946795,Prepress technicians & workers,1157392432.3636365,57841707.41582811
630,"Westpark Tollway, West of Beltway TX-8 PUMA, TX",98161106.64481372,Project management specialists,958689670.5882354,173582267.295105
631,"Louisville/Jefferson County (Southeast) PUMA, KY",98156724.2945671,Radiologic technologists and technicians,815295865.1881189,114721489.09384273
632,"Missouri City PUMA, TX",98106078.34734651,Surgeons,958689691.7333333,571660495.1726127
633,"Avon, Lake Villa, Antioch & Grant Townships PUMA, IL",97975813.63723215,Actuaries,430181266.9655173,265049587.04010835
634,"Hillsborough County (North Central) PUMA, FL",97965728.52029581,Credit counselors & loan officers,975077552.4,137235832.17932606
635,"Columbus (Far Northeast), Gahanna & New Albany Cities PUMA, OH",97925220.8966998,Chief executives & legislators,452144078.2784811,285675917.3191395
636,"Oxon Hill, Hillcrest Heights & Temple Hills PUMA, MD",97907725.73991054,Financial managers,458597976.0174419,186102768.20035145
637,"Worcester County (South) PUMA, MA",97857261.58573507,Other Physical Scientists,1270058931.4594595,149247353.92702162
638,"Farragut Town PUMA, TN",97855246.50909147,Surgeons,901332112.0,571660495.1726127
639,"Berkeley & Albany Cities PUMA, CA",97797133.98903713,"Communications equipment operators, all other",491635707.66666657,73023735.8392918
640,"Merrimack County (Central)Concord City PUMA, NH",97784746.21673071,Commercial and industrial designers,1075453134.915254,130763700.39902832
641,"East Flatbush, Farragut & Rugby PUMA, NY",97766229.28189199,Human resources managers,1058158487.2459018,146374673.5856089
642,"Dallas (Far North) & Richardson (Southwest) Cities PUMA, TX",97710726.08181097,Magnetic resonance imaging technologists,958689704.5714285,203515513.71080974
643,"San Diego City (Central/Clairemont & Kearny Mesa) PUMA, CA",97684402.35670052,Financial analysts,1157392440.5333333,201459377.03718996
644,"Kenosha County PUMA, WI",97683489.19531994,"Miscellaneous engineers, including nuclear engineers",899283708.7826086,174746885.31786102
645,"Northwest Las Vegas Valley PUMA, NV",97662470.83481026,"Lawyers, & judges, magistrates, & other judicial workers",655012905.0734266,251695543.47547695
646,"Rochester City PUMA, MN",97650878.60890625,Surgeons,997610852.8141593,571660495.1726127
647,"Henderson City (West) PUMA, NV",97617266.86869603,"Meeting, convention, & event planners",944350284.5454546,73935012.40590149
648,"Ewa PUMA, HI",97610631.41449253,Facilities managers,315466236.1363636,127859883.49580576
649,"Portage Park, Dunning & Jefferson Park PUMA, IL",97584302.80419357,Surgeons,1112325877.9130435,571660495.1726127
650,"Bellevue City PUMA, NE",97554312.63281499,"Subway, streetcar, & other rail transportation workers",880847382.1935484,96657627.0721246
651,"LA City (Northwest/Encino & Tarzana) PUMA, CA",97552008.52307734,Other Physical Scientists,1157392395.6000001,149247353.92702162
652,"Kendall & Grundy Counties PUMA, IL",97522004.87868954,Credit counselors & loan officers,1112325864.8888888,137235832.17932606
653,"Phoenix (Far North) & Peoria (Northwest) Cities PUMA, AZ",97409457.81549677,Counter & rental clerks,409696443.8873239,42915172.93598715
654,"Petaluma, Rohnert Park & Cotati Cities PUMA, CA",97392688.5957509,"Securities, commodities, & financial services sales agents",409696433.50276244,235476111.74532747
655,"Fallbrook, Alpine & Valley Center PUMA, CA",97370519.33307739,Other Physical Scientists,1157392448.3478262,149247353.92702162
656,"Ocean City & Somers Point City PUMA, NJ",97343814.71874714,Financial analysts,1304883141.6000001,201459377.03718996
657,"River Parishes PUMA, LA",97316493.3204905,Firstline supervisors of police & detectives,794811052.9714286,146626147.25385883
658,"Seminole County (West) PUMA, FL",97312573.31492463,Dentists,975077524.1860464,258225172.68799314
659,"Cambridge City PUMA, MA",97288908.48387364,Dentists,588676932.9635036,258225172.68799314
660,"Flushing, Murray Hill & Whitestone PUMA, NY",97159071.42312701,Other financial specialists,877417667.9185519,198319233.27190593
661,"St. Tammany Parish (Northwest) PUMA, LA",97030957.14574528,Financial analysts,794811050.0338984,201459377.03718996
662,"South of US-59, West of I-45 & Inside Loop I-610 PUMA, TX",97019703.63063805,Other financial specialists,958689683.5636363,198319233.27190593
663,"St. Charles County (Northwest) PUMA, MO",96994208.00599073,Aircraft pilots & flight engineers,852168583.011236,233771261.06901407
664,"Guilford, Roland Park & Druid Lake PUMA, MD",96984727.54001746,Architectural & engineering managers,1028337976.0,271146679.44610673
665,"Hillsborough County (Northwest) PUMA, FL",96978010.37501387,Other financial specialists,975077485.0,198319233.27190593
666,"Revere, Chelsea & Winthrop Town Cities PUMA, MA",96948451.37118463,Chief executives & legislators,1270058939.5555556,285675917.3191395
667,"Thomas Jefferson Planning District Commission (South & East) PUMA, VA",96933733.36261907,"Agents & business managers of artists, performers, & athletes",1024241074.4888889,105882405.4235695
668,"Davenport City PUMA, IA",96901623.93438107,Insurance sales agents,737956419.6389892,108894176.09057176
669,"Bridgeton City PUMA, NJ",96859306.41311933,Surgeons,864538265.3538461,571660495.1726127
670,"Ashburn, Washington Heights, Morgan Park & Beverly PUMA, IL",96848425.69779946,Financial analysts,1112325825.473684,201459377.03718996
671,"Milwaukee County (South) PUMA, WI",96834528.95604062,"Property, real estate, & community association managers",899283691.1999999,102579153.7714318
672,"Arden-Arcade, Carmichael & Fair Oaks (West) PUMA, CA",96833607.8321456,Physicians,478775006.7126759,418213885.2623563
673,"Arapahoe (East) & Adams (East) CountiesAurora City (Northeast) PUMA, CO",96797079.04998557,"Lawyers, & judges, magistrates, & other judicial workers",753002874.5263158,251695543.47547695
674,"Lakeside, Winter Gardens & Ramona PUMA, CA",96752056.26765455,Marketing managers,1157392395.6000001,170966876.03049782
675,"Hamden, Ansonia, Seymour, Derby, Woodbridge & Bethany Towns PUMA, CT",96679323.63183431,Facilities managers,401502512.15094334,127859883.49580576
676,"Cobb County (Northwest)Kennesaw & Acworth Cities PUMA, GA",96655997.6820449,Other teachers and instructors,643395107.2483517,55581493.07744576
677,"Aberdeen & Havre de Grace Cities PUMA, MD",96638361.1609119,Aerospace engineers,327757127.6052632,188708334.9702543
678,"Plainfield & Lockport Townships PUMA, IL",96593866.87136799,"Inspectors, testers, sorters, samplers, & weighers",433931113.41666657,71243022.07302803
679,"Austin City (Central) PUMA, TX",96592609.54233027,Physicians,814314940.9225353,418213885.2623563
680,"Irvington, Ten Hills & Cherry Hill PUMA, MD",96543860.77120934,Surgeons,1028338022.4827586,571660495.1726127
681,"Jacksonville City (Beaches) PUMA, FL",96501728.91398236,Graphic designers,512120555.4782608,77550002.63985498
682,"Pasco County (South) PUMA, FL",96337429.70085353,Sales managers,658488922.8338028,215569207.83716124
683,"Will County (South) PUMA, IL",96333967.75682545,"Brickmasons, blockmasons, stonemasons, & reinforcing iron & rebar workers",364629803.1340207,54168858.082632184
684,"Chicopee City PUMA, MA",96205199.82902688,Physician assistants,1270058903.7391305,186531725.38923976
685,"Marysville & Arlington Cities PUMA, WA",96150954.99414927,Personal financial advisors,603167258.7972974,224327492.92839324
686,"Bristol, Southington & Burlington Towns PUMA, CT",96126819.69218047,Construction managers,512120547.94285715,125294177.04186851
687,"Irvine City (Central) PUMA, CA",96089561.40525544,Surgeons,1157392441.8597784,571660495.1726127
688,"Raleigh City (South & Central) PUMA, NC",96085874.65298727,Dentists,846023147.7777778,258225172.68799314
689,"Anchorage Municipality (North) PUMA, AK",96076205.07132468,Project management specialists,899283651.2592593,173582267.295105
690,"Koolaupoko PUMA, HI",96031844.27958366,Surgeons,825538313.2682927,571660495.1726127
691,"Palm Beach Gardens & Riviera Beach Cities PUMA, FL",96030819.68406211,Actuaries,975077540.6213592,265049587.04010835
692,"Spring Valley, Suffern Villages & Monsey PUMA, NY",96026292.72734639,Parts salespersons,1351998168.0,63915833.873723805
693,"Plano City (Central) PUMA, TX",96021530.43069702,"Miscellaneous engineers, including nuclear engineers",508391846.22471917,174746885.31786102
694,"Somerville & Everett Cities PUMA, MA",95942995.36940712,Nurse anesthetists,430181247.86301374,278728431.6744965
695,"Omaha City (Northwest) PUMA, NE",95891362.28785633,Physicians,724066378.4136461,418213885.2623563
696,"Jacksonville City (Southeast River) PUMA, FL",95888400.79523416,Radiologic technologists and technicians,591638885.0,114721489.09384273
697,"Palm Beach County (West of Boca Raton City) PUMA, FL",95885708.97049247,Public relations and fundraising managers,559912020.0,150853998.50042796
698,"Asheville City PUMA, NC",95862645.85676067,"Securities, commodities, & financial services sales agents",846023159.76,235476111.74532747
699,"Sullivan & Ulster (West) Counties PUMA, NY",95819366.93470359,Social & community service managers,639603941.0066226,109007660.97080216
700,"Cedar Rapids City PUMA, IA",95818392.4844408,Supervisors of transportation & material moving workers,827586798.6602871,93376850.9302595
701,"Commerce City & Brighton Cities PUMA, CO",95761319.46849224,Audiologists,1020144139.7837838,125342513.62319529
702,"Whittier City & Hacienda Heights PUMA, CA",95752541.154175,"Miscellaneous first-line supervisors, protective service workers",1157392442.5193372,114652034.78791162
703,"Claremore City PUMA, OK",95746123.23540105,Physicians,846023122.2569834,418213885.2623563
704,"Sharonville, Blue Ash, Springdale & Reading Cities PUMA, OH",95729263.95913807,Surgeons,884944303.3024911,571660495.1726127
705,"Hanover & Schaumburg (Northwest) Townships PUMA, IL",95614884.97592393,Architectural & engineering managers,1112325816.96,271146679.44610673
706,"Orange County (Northwest) PUMA, NY",95613651.26234138,Surgeons,973795433.8367348,571660495.1726127
707,"Proviso, Riverside & River Forest Townships PUMA, IL",95609509.69157037,"Legal support workers, all other",1112325849.721519,104844134.74981996
708,"New Carrollton & Hyattsville (Southeast) Cities PUMA, MD",95598562.90972565,Physicians,1028338001.4339622,418213885.2623563
709,"Coral Springs & Parkland Cities PUMA, FL",95595256.86299346,Aircraft pilots & flight engineers,583351855.8636363,233771261.06901407
710,"Carson City PUMA, CA",95566995.49795993,Athletes and sports competitors,655514238.7636364,93844429.49892953
711,"Ocean County (South) PUMA, NJ",95561636.15940294,Physician assistants,1304883183.0769231,186531725.38923976
712,"Fullerton & Placentia Cities PUMA, CA",95529345.90407942,Architectural & engineering managers,550876764.4067796,271146679.44610673
713,"Howard Beach & Ozone Park PUMA, NY",95510325.023877,Other assemblers and fabricators,949235080.6923077,57295591.116661586
714,"Rancho Cordova City PUMA, CA",95485368.95547412,Magnetic resonance imaging technologists,635029448.3809524,203515513.71080974
715,"Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA, CA",95467742.85316513,Nurse practitioners & nurse midwives,430181247.86301374,176369664.75898403
716,"Rock Hill City & Fort Mill Town PUMA, SC",95439140.20501551,Physician assistants,862411006.2089552,186531725.38923976
717,"DeKalb County (Northeast)Tucker PUMA, GA",95437295.65687545,Millwrights,964835113.484536,101691127.88448834
718,"Kernersville Town & Clemmons Village PUMA, NC",95429085.54148072,Radiologic technologists and technicians,846023120.5454545,114721489.09384273
719,"Farmington & Southfield Area PUMA, MI",95368898.9290595,Veterinarians,874701858.4761906,171603331.8240765
720,"Baton Rouge City PUMA, LA",95367354.72573772,"Human resources assistants, except payroll & timekeeping",794811064.7741934,69588225.2155272
721,"McHenry County (North, West & Central) PUMA, IL",95335647.40360391,"Sales representatives of services, except advertising, insurance, financial services, and travel",493328537.67032963,152470294.37031612
722,"Thurston County (Outer) PUMA, WA",95300088.67544328,Physicians,445257168.1348315,418213885.2623563
723,"Oregon City, Milwaukie & Happy Valley Cities PUMA, OR",95270553.78949426,Firstline supervisors of nonretail sales workers,497015695.1957296,143109662.6477693
724,"Washoe County (South) PUMA, NV",95136441.04120079,Dentists,944350258.2857144,258225172.68799314
725,"Garner (South) & Fuquay-Varina Towns PUMA, NC",95028894.08951028,"Securities, commodities, & financial services sales agents",846023148.8955224,235476111.74532747
726,"Hempstead Town (North Central)Meadowbrook Corridor PUMA, NY",95017804.90977353,Coaches and scouts,605784101.4893616,46725549.10808012
727,"Kent County (North) PUMA, MI",94980200.5448915,Sales managers,573952661.625,215569207.83716124
728,"St. Petersburg City (East) PUMA, FL",94977560.75550678,Optometrists,975077502.7368422,184080141.33135125
729,"Westminster, Stanton & Garden Grove (West) Cities PUMA, CA",94967185.88473998,Electrical & electronics engineers,532605372.5490196,175462806.86990792
730,"Montgomery County (West)Conroe City (West) PUMA, TX",94954413.5393448,Physicians,728641220.6943396,418213885.2623563
731,"Lindenwold & Collingswood Boroughs PUMA, NJ",94920053.1713635,Manicurists and pedicurists,714592110.7959185,32577638.92512906
732,"Graham, Elk Plain & Prairie Ridge PUMA, WA",94898450.42548136,Industrial production managers,462956964.4615384,156312696.47488225
733,"Carroll County PUMA, MD",94857075.55273233,Dentists,384360883.5633803,258225172.68799314
734,"Colorado Springs City (West) PUMA, CO",94856482.46861443,Surgeons,1020144133.037037,571660495.1726127
735,"Bushwick PUMA, NY",94839360.95308736,"Educational, guidance, and career counselors and advisors",730223617.0235293,85472526.74897332
736,"Greater Seminole City PUMA, FL",94836351.03501786,Physicians,628835080.0876493,418213885.2623563
737,"Bakersfield City (West) PUMA, CA",94833096.12625358,Financial analysts,1157392372.9108913,201459377.03718996
738,"Bloomington & Richfield Cities PUMA, MN",94803223.72079721,Architectural and civil drafters,331854132.5454545,95896130.36674364
739,"Port Richmond, Stapleton & Mariner's Harbor PUMA, NY",94781973.97906972,Fundraisers,356435902.1,105716298.90259945
740,"Pima County (Northeast) PUMA, AZ",94771175.4226904,Surgeons,843974632.7058823,571660495.1726127
741,"Randallstown (East), Owings Mills, Milford Mill & Reisterstown PUMA, MD",94762387.85079502,Veterinarians,573575018.4888889,171603331.8240765
742,"Livingston & St. Helena Parishes PUMA, LA",94747418.04956451,Sales managers,794811081.8571429,215569207.83716124
743,"Napa City PUMA, CA",94730962.00520694,Computer network architects,1157392453.3714285,192965510.23446938
744,"Miami Beach City & Miami Shores Village PUMA, FL",94706425.80908255,Other information and records clerks,471150909.3191489,55786575.9196431
745,"Spring Valley & Summerlin South PUMA, NV",94645985.77390683,Surgeons,944350308.5217392,571660495.1726127
746,"Elgin (North & Central) & Dundee Townships PUMA, IL",94576763.82103351,"Securities, commodities, & financial services sales agents",1112325790.0,235476111.74532747
747,"Longmont City & Erie Town PUMA, CO",94555421.21739416,Physicians,522860154.4327323,418213885.2623563
748,"Charlotte City (Central) PUMA, NC",94483995.34062433,"Securities, commodities, & financial services sales agents",475161055.220339,235476111.74532747
749,"Greensboro City (North) PUMA, NC",94462063.01976173,Commercial and industrial designers,846023159.76,130763700.39902832
750,"Livingston County PUMA, MI",94437695.42648958,Aircraft pilots & flight engineers,568312500.3448277,233771261.06901407
751,"Milwaukee County (West) PUMA, WI",94429755.35800706,Other financial clerks,899283705.025641,154601498.81592458
752,"Kettering & Centerville Cities PUMA, OH",94344668.59656388,Surgeons,884944312.054054,571660495.1726127
753,"Rosenberg City, Pecan Grove & New Territory PUMA, TX",94318991.6049919,Physician assistants,512120541.52380955,186531725.38923976
754,"Vancouver (East), Camas & Washougal Cities PUMA, WA",94303448.04791819,Physicians,582714425.0769231,418213885.2623563
755,"Northern Shenandoah Valley Regional Commission (North) PUMA, VA",94251535.91004577,Surgeons,1024241057.3714285,571660495.1726127
756,"Durham City (South) PUMA, NC",94142242.82542835,Surgeons,846023153.5384616,571660495.1726127
757,"Ocean County (Northwest) PUMA, NJ",94111332.51688951,Optometrists,614544630.1357466,184080141.33135125
758,"San Jose City (East Central/East Valley) PUMA, CA",94053120.68522671,Sales managers,409696450.58823526,215569207.83716124
759,"El Paso City (Northwest) PUMA, TX",93987936.98722805,Magnetic resonance imaging technologists,958689626.2372882,203515513.71080974
760,"El Cajon & Santee Cities PUMA, CA",93980799.06736855,Magnetic resonance imaging technologists,1157392452.1290324,203515513.71080974
761,"Columbia County PUMA, GA",93980470.44262934,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers",512120533.5,61560745.6869894
762,"Spanish Fork, Springville, Lehi (Northeast) & Highland Cities PUMA, UT",93954944.79080795,Operations research analysts,860362535.6962025,147021765.99378487
763,"Everett City (Central & East) & Eastmont PUMA, WA",93897359.9625417,Physicians,1067259267.574468,418213885.2623563
764,"Glendale City PUMA, CA",93865280.01241298,Physicians,543890302.2107143,418213885.2623563
