,Location,Average Salary by Location,Occupation,Average Salary for Each Occupation by Location,Average National Salary for Each Occupation,Entropy of labor of Each Occupation by location
650,"El Monte & South El Monte Cities PUMA, CA",33164.39110565887,Clinical laboratory technologists & technicians,572399.8260869565,40537.11193698079,4.871076116383583
2000,"South Delta Region PUMA, MS",33163.14767382916,Nurse anesthetists,339387.5714285714,137847.88905761446,4.821049064812203
688,"Eugene City (West & South) PUMA, OR",33153.724661808585,"Heating, air conditioning, & refrigeration mechanics & installers",352918.9631147541,38378.79207938513,5.09491960474221
2278,"Webb County (North & East)Laredo City (Outer) PUMA, TX",33141.09729946503,Physicians,141833.58389261746,206831.79290917717,4.730710750243333
1279,"Lycoming & Clinton Counties PUMA, PA",33139.92238295793,Physicians,274888.54734411085,206831.79290917717,5.245871168756388
2075,"St. Louis County (Northeast) PUMA, MO",33116.993554213994,Software developers,156506.02155172414,105223.46968687043,4.5400624674394106
250,"Brownsville City (North) PUMA, TX",33099.593992215654,Architectural & engineering managers,277588.5811965812,134098.2588754237,4.682843471245378
1505,"North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA, IL",33093.51301873872,Telemarketers,550111.7058823529,14505.106969376626,4.69533161768886
1734,"Polk County (Northwest) PUMA, FL",33081.95669778315,Chief executives & legislators,236899.9634146341,141283.83645852594,5.26210095213694
1140,"LA City (North Central/Mission Hills & Panorama City) PUMA, CA",33080.283874679735,Graphic designers,259352.8333333333,38353.11703256923,5.0272374017390264
2274,"Wayne County PUMA, NC",33067.974940517,Physicians,197553.91666666663,206831.79290917717,4.918776594019842
653,"El Paso City (North) PUMA, TX",33067.12223527358,Chief executives & legislators,202619.4,141283.83645852594,4.929284794804664
737,"Fort Wayne City (North) PUMA, IN",33061.1646128968,Veterinarians,170200.29357798165,84868.11662911795,5.040031624982084
1257,"Logan, Polk, Franklin, Sevier, Howard & Scott Counties PUMA, AR",33034.53002399133,Magnetic resonance imaging technologists,427526.9523809524,100650.60025262598,4.6712846361156375
448,"Colorado Springs City (Central) PUMA, CO",33021.881990734575,Firefighters,138044.44094488188,60741.10529640623,5.121131094630304
477,"Colusa, Glenn, Tehama & Trinity Counties PUMA, CA",33014.68283011007,Technical writers,182357.4482758621,56772.363575088,4.89082190991407
1476,"New Castle City PUMA, PA",33013.921642526555,"Power plant operators, distributors, & dispatchers",171213.38709677418,77072.03539917499,5.076882129863023
252,"Buchanan, Andrew & DeKalb Counties PUMA, MO",33008.87372506405,Physician assistants,172226.5,92251.10058815022,5.13246959193878
53,"Apalachee Region (Outside Leon County) PUMA, FL",33004.07746331201,Physicians,357383.9126213592,206831.79290917717,5.162661310742647
2189,"Tucson City (Southeast) PUMA, AZ",32986.24625246149,Aerospace engineers,152977.64383561644,93327.5642780684,5.06339527647703
1702,"Phoenix City (South) PUMA, AZ",32982.54195215504,"Industrial engineers, including health & safety",172226.48529411765,72963.74519021867,4.930732219658161
1131,"LA City (Central/Koreatown) PUMA, CA",32960.09549120315,Word processors & typists,177045.26943005182,23422.143117200358,4.955541859085343
476,"Columbus, Bladen & Robeson (East) Counties PUMA, NC",32949.51905191756,Chief executives & legislators,418409.06666666665,141283.83645852594,4.503446556770722
1656,"Pasco County (Gulf Coast) PUMA, FL",32948.720679424376,Computer network architects,482234.2,95432.99220300168,4.79635236327033
1546,"Northwest Kansas PUMA, KS",32944.1281395793,Cost estimators,444749.59139784944,58963.60741807346,5.028073534424326
2199,"Tuscola, Sanilac & Huron Counties PUMA, MI",32933.34429785141,Dietetic technicians and ophthalmic medical technicians,314612.6666666667,23782.07830903161,5.21140574005148
851,"Greater Yakima City PUMA, WA",32897.36631317402,Nurse anesthetists,215789.6607142857,137847.88905761446,4.633685636637019
1485,"New River Valley Planning District Commission PUMA, VA",32889.06129110603,"Firstline supervisors of mechanics, installers, & repairers",146899.06666666668,55421.74534635547,5.084457193284411
964,"Homestead City (North) & Florida City (North) PUMA, FL",32884.69453192356,Physicians,202619.4,206831.79290917717,4.81434719345178
1218,"Lenoir, Onslow (North) & Jones Counties PUMA, NC",32882.53185838607,Personal care aides,418409.0602409639,17215.14524964851,4.851883424769272
284,"Cambria County PUMA, PA",32877.36425239981,File clerks,151964.54794520547,19711.50749764744,5.2085871423646966
404,"Clallam & Jefferson Counties PUMA, WA",32854.17209125023,Dentists,277493.35042735044,127707.80053807772,4.90437953700402
2321,"White, Jackson, Prairie & Woodruff Counties PUMA, AR",32815.58937798958,Firstline supervisors of construction trades & extraction workers,286788.59797297296,52835.46096129545,4.850895042233079
1533,"Northeast Lower Peninsula PUMA, MI",32804.30177396049,Computer & information systems managers,432592.4230769231,102527.2721576413,5.068925453902602
1548,"Northwest Louisiana PUMA, LA",32779.44249822247,Physicians,209746.26799007444,206831.79290917717,5.161822074789573
785,"Gary City & Griffith Town PUMA, IN",32777.78158154571,"Doortodoor sales workers, news & street vendors, & related workers",186409.8476190476,12001.064758249571,4.774987427086691
2147,"Terre Haute City PUMA, IN",32773.195771386716,Personal financial advisors,417395.961038961,110943.36940078795,4.811055109717789
1763,"Pulaski, Camden, Miller & Morgan Counties PUMA, MO",32767.209433838274,Physicians,421448.35443037975,206831.79290917717,4.876738713183358
1295,"Manatee County (West Central) PUMA, FL",32759.987604531147,Computer programmers,162095.51351351352,77866.92885289535,4.956155393756282
924,"Henderson & Anderson Counties PUMA, TX",32750.966236151664,Purchasing managers,162095.51162790696,74013.09656763387,4.892381848896975
1851,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA, AL",32741.72903254994,Physicians,319357.8909774436,206831.79290917717,4.889213160731394
2027,"Southern Georgia Regional Commission (West) PUMA, GA",32729.492661797252,Postal service mail carriers,176515.1255060729,40916.01652746223,5.021278064693821
1298,"Manhattan City PUMA, KS",32713.787012998124,Physicians,265271.4615384616,206831.79290917717,5.079461619951605
1470,"Neshoba, Scott, Leake, Jasper, Smith & Kemper Counties PUMA, MS",32707.948645717788,Physicians,339387.5061728395,206831.79290917717,4.816298801481983
2190,"Tulare & Porterville Cities PUMA, CA",32703.743469137076,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers",514206.3529411765,30445.47264440623,4.852509544737265
2242,"Warren County PUMA, KY",32690.201582755748,Dentists,403212.57657657657,127707.80053807772,4.742654279114953
45,"Androscoggin County PUMA, ME",32676.28077317177,Physicians,360662.5430463576,206831.79290917717,4.706507948862647
423,"Cleveland City PUMA, TN",32648.702279518588,Firefighters,204469.80821917808,60741.10529640623,5.127859103781905
1658,"Pasco County (West Central) PUMA, FL",32631.625947286113,Software developers,217484.11586901764,105223.46968687043,4.935061896349581
1455,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA, OK",32624.630192515433,Pipelayers,202619.42857142855,42543.59074856914,4.977693903790266
334,"Cattaraugus & Allegany Counties PUMA, NY",32611.702182449542,Physicians,306498.54347826086,206831.79290917717,5.321062719299075
1186,"Lakota Region PUMA, SD",32610.853943849736,"Lawyers, & judges, magistrates, & other judicial workers",196365.08163265305,124478.50814810928,4.952695034976294
798,"Gibson, Dyer, Obion, Crockett & Lake Counties PUMA, TN",32601.769459007082,Surgeons,445762.7,282720.32402206364,4.980825868591792
1008,"Ingham County (Northwest) PUMA, MI",32601.42045959658,"Miscellaneous first-line supervisors, protective service workers",151964.54545454544,56702.29217997607,4.863485953901403
1047,"Jackson, Hocking, Pike & Vinton Counties PUMA, OH",32564.658924900417,Pharmacists,146899.05555555556,88632.34688145593,4.76139387101445
900,"Harnett County PUMA, NC",32557.87627149398,"Miscellaneous engineers, including nuclear engineers",168344.45132743364,86422.79194750793,5.112154547394742
2165,"Toledo City (West) PUMA, OH",32555.573446024395,Chief executives & legislators,179561.77943615257,141283.83645852594,4.980618906140025
2066,"St. Joseph & Branch Counties PUMA, MI",32501.613338079576,Accountants & auditors,197506.09012875537,62325.81180323831,4.950854653853924
2339,"Wilson City PUMA, NC",32469.846019575445,Physicians,222881.34545454543,206831.79290917717,4.8790370987207945
1062,"Jasper & Newton Counties PUMA, MO",32466.929924980624,Physicians,375823.8250377074,206831.79290917717,5.034820005976793
1789,"Randolph, Upshur, Barbour, Lewis, Hardy, Grant, Pendleton & Tucker Counties PUMA, WV",32429.168503312314,Chief executives & legislators,354583.94520547945,141283.83645852594,4.840878424148162
2111,"Sumter City PUMA, SC",32428.303997025014,Physicians,226797.04761904763,206831.79290917717,5.192394621971482
1017,"Inside Loop I-410 PUMA, TX (79500US4805903)",32422.962958475116,Dentists,474129.3983739837,127707.80053807772,4.793768492973308
1597,"Opa-Locka City, West Little River & Westview PUMA, FL",32410.30010560802,Project management specialists,151964.55102040817,85846.81864248517,4.649030291673919
346,"Central Shenandoah Planning District Commission (Northeast) PUMA, VA",32390.82736208985,Chief executives & legislators,263556.34639696585,141283.83645852594,5.064665535498779
220,"Brazos CountyCollege Station & Bryan Cities PUMA, TX",32382.04177479329,Nurse anesthetists,233012.3142857143,137847.88905761446,5.148840926182084
2023,"Southeast Oklahoma PUMA, OK",32369.296078903415,Civil engineers,146899.0634920635,78192.060073669,5.240638610543344
1694,"Philadelphia City (West) PUMA, PA",32366.66857038819,Physician assistants,492365.1743119266,92251.10058815022,4.468420203130845
631,"East of TX-6 & West of Beltway TX-8 PUMA, TX (79500US4804638)",32357.316346451928,"Miscellaneous engineers, including nuclear engineers",229909.71354166663,86422.79194750793,4.603170294009891
1529,"Northeast Albemarle Sound Region PUMA, NC",32346.289901335847,Pharmacists,146899.0588235294,88632.34688145593,4.952559874245405
1118,"Kingsport City PUMA, TN",32343.670783171972,Orderlies and psychiatric aides,445762.6875,25306.18528302336,4.849572347719738
1278,"Lumberton City PUMA, NC",32330.4007254167,Physician assistants,151964.54736842104,92251.10058815022,5.0737917500312095
635,"Eastern Upper Peninsula PUMA, MI",32303.291300444187,Physicians,182798.63978494625,206831.79290917717,5.218552072807515
1446,"Muncie City PUMA, IN",32291.212106170795,Nuclear medicine technologists and medical dosimetrists,417395.9710144928,132946.1370184876,4.742218477281804
2276,"Wayne, Fayette, Rush & Union Counties PUMA, IN",32283.845772282242,Aircraft pilots & flight engineers,164593.88687782804,115613.87787785068,5.050926122738209
258,"Buffalo City (East) PUMA, NY",32274.81201904195,Chief executives & legislators,202619.4,141283.83645852594,4.933944585450369
623,"East Los Angeles PUMA, CA",32270.082853514516,Pharmacists,151964.5641025641,88632.34688145593,4.85500813966683
647,"El Centro City PUMA, CA",32268.798528172996,"Purchasing agents, except wholesale, retail, & farm products",253274.25974025973,52067.00708327911,4.661361227063308
1617,"Oroville City & Paradise Town PUMA, CA",32256.700773777837,Home health aides,451008.7906976744,17849.767202998682,4.565104692151107
1491,"Newaygo, Mason, Oceana & Lake Counties PUMA, MI",32251.610776688805,Surface mining machine operators and earth drillers,319984.843373494,46333.96708760852,5.124514712245001
2012,"South of I-30 & East of I-35E PUMA, TX",32246.29424007089,"Lawyers, & judges, magistrates, & other judicial workers",474129.4084507042,124478.50814810928,4.7323964083081655
1152,"LENOWISCO & Cumberland Plateau Planning District Commissions PUMA, VA",32239.90343941825,Electrical and electronic engineering technologists and technicians,301902.9090909091,53540.34918912635,5.056758347818941
349,"Central Texas COG (West), Burnet & Llano Counties PUMA, TX",32199.473559401442,Aircraft pilots & flight engineers,282928.9095744681,115613.87787785068,5.08240998621054
1730,"Pocatello, Chubbuck Cities & Fort Hall Reservation PUMA, ID",32191.687845126984,Physicians,401186.4235294118,206831.79290917717,5.033336598663603
1664,"Pearl River, Hancock, George & Stone Counties PUMA, MS",32186.56645164444,Insurance sales agents,240849.7472222222,53854.68649385349,4.720909320028464
2005,"South Plains Association of Governments (Outside Lubbock County) PUMA, TX",32180.387001644514,Physicians,294595.95,206831.79290917717,5.098145984789536
2091,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA, OK",32178.81783846997,Other construction and related workers,151964.54285714286,33783.57118618442,4.986928130758438
1850,"Rusk, Cherokee & Panola Counties PUMA, TX",32167.25935172354,"Transportation, storage, & distribution managers",204645.61538461535,53695.69069794224,4.922768278118691
481,"Concho Valley COG & Permian Basin Regional Planning Commission (East) PUMA, TX",32157.779462465696,"Miscellaneous first-line supervisors, protective service workers",253274.24852071007,56702.29217997607,4.93729498185262
963,"Holmes, Guernsey & Coshocton Counties PUMA, OH",32154.09740264282,Chief executives & legislators,437657.89830508473,141283.83645852594,4.9023706612164055
668,"Emporia City PUMA, KS",32146.564568867925,Chief executives & legislators,231235.37735849057,141283.83645852594,5.029416556152701
856,"Greenacres City (North) & Palm Springs Village (North) PUMA, FL",32137.835147078997,Chief executives & legislators,209890.42561205276,141283.83645852594,5.034034615367306
1537,"Northeast South Dakota PUMA, SD",32113.408806736894,Dentists,162095.51315789475,127707.80053807772,5.090067802998172
2122,"Suwannee, Taylor, Madison, Hamilton & Lafayette Counties PUMA, FL",32094.330806211732,Emergency management directors,482234.17647058825,61993.09140205178,4.592619147207165
2277,"Weakley, Henry, Carroll, Humphreys, Benton & Houston Counties PUMA, TN",32094.069711357763,"Eligibility interviewers, government programs",383773.198019802,38127.327691325496,4.967922291588407
1195,"Las Vegas City (South Central) PUMA, NV",32044.90550789678,Computer & information systems managers,227946.82926829267,102527.2721576413,4.929047012389391
367,"Charlotte County PUMA, FL",32033.122133112,Surgeons,482234.1967213115,282720.32402206364,4.9304572775292765
936,"Hernando County PUMA, FL",32005.908771953244,Surgeons,482234.2,282720.32402206364,5.014075217118981
279,"Caldwell & Alexander Counties PUMA, NC",31996.876860349636,"Medical scientists, & life scientists, all other",241117.1009174312,79977.46222023785,4.877554762971339
775,"Gainesville City (Central) PUMA, FL",31979.45387772987,Computer & information systems managers,280009.9716312057,102527.2721576413,4.986116085387786
2256,"Washington, Morgan, Noble & Monroe Counties PUMA, OH",31968.044480364835,Physicians,192405.97093023252,206831.79290917717,4.9806361750068415
416,"Clearfield, McKean, Elk, Potter & Cameron Counties PUMA, PA",31963.43536863645,Dentists,182357.45,127707.80053807772,5.383819060999447
46,"Angelina & Nacogdoches Counties PUMA, TX",31959.888871437113,Chief executives & legislators,254329.30177514796,141283.83645852594,4.974858818277954
152,"Beltrami, Becker, Hubbard, Clearwater, Mahnomen & Lake of the Woods Counties PUMA, MN",31927.456559046685,Physicians,272107.0917874396,206831.79290917717,5.25225555998773
2097,"Stillwater City PUMA, OK",31924.658602428943,Physician assistants,399453.64024390245,92251.10058815022,4.967901459970562
2298,"West Piedmont Planning District Commission PUMA, VA",31903.492312906154,Dentists,332499.77483443706,127707.80053807772,5.14072637760129
1930,"Sarasota County (East) PUMA, FL",31882.03867214646,Aerospace engineers,187189.77777777775,93327.5642780684,4.769078355736595
887,"Hamblen, Cocke & Grainger Counties PUMA, TN",31877.373653472645,"Doortodoor sales workers, news & street vendors, & related workers",445762.6823529412,12001.064758249571,4.579166504018018
150,"Belmont & Jefferson Counties PUMA, OH",31810.540889091408,"Miscellaneous metal workers & plastic workers, including multiple machine tool setters",134550.88552188553,31441.368054438903,5.032428809623854
863,"Greensboro City (South) PUMA, NC",31807.44008740868,Chemical engineers,160069.32743362832,95707.39540394994,4.836968191836094
855,"Green River Area Development District (Southwest) PUMA, KY",31790.27185383628,Network and computer systems administrators,222543.63425925927,70080.64245976007,4.823285061535488
2130,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA, AL",31769.75076086293,"Miscellaneous woodworkers, including model makers & patternmakers",396120.9523809524,21057.875554873684,4.847714816336502
202,"Bonner, Latah, Shoshone, Boundary, Benewah & Kootenai (Southeast) Counties PUMA, ID",31764.677839876655,Surgical technologists,401186.4077669903,43286.84426099381,5.103419927816724
981,"Humboldt County PUMA, CA",31757.522592812573,"News analysts, reporters, and journalists",572399.8167938931,55210.178798093686,4.739678353960577
345,"Central Savannah River Area Regional Commission (West & Outside Richmond & Columbia) PUMA, GA",31733.19588800274,Forest & conservation workers,202619.5,24743.122995512807,5.022214864235019
1387,"Milwaukee City (North) PUMA, WI",31720.968948276903,Shuttle drivers and chauffeurs,144339.50588235294,20707.831104655925,4.6677178922329405
1873,"San Antonio (Northeast), Kirby & Windcrest Cities PUMA, TX",31701.00751673043,"Sales representatives, wholesale & manufacturing",115941.86528497408,67929.48572119647,4.868062057528989
990,"Hunts Point, Longwood & Melrose PUMA, NY",31694.622250373373,Editors,251248.07407407407,42043.86066368738,4.613336398318285
71,"Ashtabula County PUMA, OH",31655.1114637071,Electricians,139807.39130434784,43910.58891450851,4.939353957666601
1693,"Philadelphia City (Southwest) PUMA, PA",31636.48252010681,Landscape architects,217815.85507246375,52836.31464534281,4.74613601539859
1780,"Raleigh, Mercer & Fayette Counties PUMA, WV",31614.69083246161,Physicians,189934.39705882352,206831.79290917717,5.054731347080442
2125,"Syracuse City PUMA, NY",31606.893945366675,Industrial production managers,174252.69333333333,77305.98243070339,5.199951160435372
144,"Bell County (West)Killeen & Harker Heights Cities PUMA, TX",31605.58416828425,Dentists,188436.0588235294,127707.80053807772,5.017377999535394
2216,"Venango, Jefferson, Clarion & Forest Counties PUMA, PA",31561.707372717145,Physicians,208343.8452722063,206831.79290917717,5.362676827260515
1808,"Richland County PUMA, OH",31551.17555818027,Dentists,285073.5189873418,127707.80053807772,4.803351850165678
1175,"Lake Havasu City PUMA, AZ",31549.7493562636,Surgeons,417395.96774193546,282720.32402206364,5.086360823858499
1549,"Northwest Lower Peninsula (East) PUMA, MI",31538.677888187398,Physicians,209562.57068062827,206831.79290917717,5.336501067324928
1023,"Iosco, Gladwin, Roscommon, Ogemaw & Arenac Counties PUMA, MI",31514.12873023049,Aircraft pilots & flight engineers,432592.3947368421,115613.87787785068,5.059409609336105
2246,"Warren, Macon, Smith, DeKalb, Cannon & Trousdale Counties PUMA, TN",31513.071718386796,"Hosts & hostesses, restaurant, lounge, & coffee shop",445762.69333333336,7298.707426565948,4.90223320108691
1083,"Jones, Wayne, Covington, Greene & Jefferson Davis Counties PUMA, MS",31482.505771806183,Physicians,339387.49606299214,206831.79290917717,4.695424582858468
20,"Albuquerque City (Southeast Heights) PUMA, NM",31478.845132555005,Project management specialists,141171.75628140703,85846.81864248517,4.780498905259593
1683,"Phelps, Crawford, Dent, Gasconade & Maries Counties PUMA, MO",31476.20376682457,"Miscellaneous material moving workers, including mine shuttle car operators, & tank car, truck, & ship loaders",421448.349726776,31943.50142127496,4.833072092928937
42,"Anderson City PUMA, IN",31472.750926356694,Management analysts,131702.6075949367,71424.88393523055,5.132571597372929
1172,"Lake Cumberland Area Development District (East) PUMA, KY",31469.586321148156,Cardiovascular technologists and technicians,403212.6,76805.666221549,4.626490698381137
2030,"Southwest Arkansas PUMA, AR",31463.410091883285,Pharmacy technicians,220721.18181818185,26957.903027151304,4.721107709365997
1312,"Marshall, Alcorn, Prentiss, Tippah, Tishomingo & Benton Counties PUMA, MS",31462.899417407138,"Bus drivers, transit and intercity",339387.4942528736,31058.899701309867,4.8755734252354825
1957,"Sevier & Jefferson Counties PUMA, TN",31457.48444985275,Radiologic technologists and technicians,253021.9047619048,56736.64149052558,4.989957362956114
1583,"Oklahoma City (West Central) PUMA, OK",31435.337437807073,Medical & health services managers,264293.9157894737,74643.1976723827,4.60083057764065
2021,"Southeast Kansas PUMA, KS",31415.775006809894,Physicians,264445.71428571426,206831.79290917717,4.964891612124852
407,"Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties PUMA, IL",31406.801063752482,Materials engineers,126637.13333333332,75692.34374789787,5.087495399746798
2192,"Tulsa (North) & Owasso Cities PUMA, OK",31373.98167985679,Chief executives & legislators,208840.61076604555,141283.83645852594,4.8506055516561615
1286,"Madera City PUMA, CA",31367.151533290446,Civil engineers,115493.05384615384,78192.060073669,4.901243779667568
2261,"Watauga, Ashe, Yancey, Avery & Mitchell Counties PUMA, NC",31354.837941478112,Credit counselors & loan officers,418409.1111111111,67871.33144378143,5.038615806046645
1735,"Polk County (South) PUMA, FL",31330.302082075188,Personal financial advisors,482234.2,110943.36940078795,4.920757177964397
1039,"Jackson City (East & Central) PUMA, MS",31317.43636452079,"Lawyers, & judges, magistrates, & other judicial workers",236652.99787234043,124478.50814810928,4.83275492995449
1467,"Navajo & Apache Counties PUMA, AZ",31314.79376807054,Optometrists,141833.58024691357,91038.6455644665,5.104220240030466
1340,"Memphis City (Southwest) PUMA, TN",31246.147467905696,Social & community service managers,133477.1320754717,53910.81155826022,4.53029740706337
1985,"Socorro & Horizon Cities PUMA, TX",31242.78071232848,Nurse anesthetists,156016.9430894309,137847.88905761446,4.973981680471174
1876,"San Antonio City (Central) PUMA, TX",31215.79784250937,Nurse anesthetists,200593.21153846156,137847.88905761446,4.752075306746696
1761,"Provo City PUMA, UT",31152.95952227239,Personal financial advisors,425500.75,110943.36940078795,4.822713919908059
1605,"Orangeburg, Colleton, Barnwell, Hampton, Bamberg & Allendale Counties PUMA, SC",31142.668737304757,Pharmacists,287381.8333333333,88632.34688145593,5.057912245575294
1057,"Jacksonville City PUMA, NC",31112.885668616924,Chief executives & legislators,135449.04,141283.83645852594,5.034503775975997
1147,"LA City (South Central/Watts) PUMA, CA",31076.62946578646,Pharmacists,572399.8139534884,88632.34688145593,4.639559483957829
381,"Cherokee, Sequoyah & Adair Counties PUMA, OK",31064.657625713768,Physicians,215691.48837209304,206831.79290917717,4.751816670900047
1031,"Isabella, Gratiot & Clare Counties PUMA, MI",31064.10390332136,Physicians,432592.41468682507,206831.79290917717,5.07481638517298
1619,"Osceola County (West) PUMA, FL",31060.95497808759,Human resources managers,201657.32086330932,72391.03540336741,5.0017328482262124
934,"Henry, Randolph, Jay & Blackford Counties PUMA, IN",31038.365063889796,Natural sciences managers,417395.9696969697,87041.6083510504,4.96247655985005
145,"Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA, CA",31012.567565122525,Chief executives & legislators,201877.0344827586,141283.83645852594,5.008492630686706
913,"Heart of Georgia Altamaha Regional Commission (North & West) PUMA, GA",30905.49578554111,Dentists,202619.4,127707.80053807772,5.104050798701444
799,"Gila, Graham, Greenlee & Pinal (East) Counties PUMA, AZ",30901.40839329956,Architectural & engineering managers,162095.51923076922,134098.2588754237,4.957080294652448
1206,"Lawrence, Henry, Vernon, Cedar, Barton, St. Clair & Dade Counties PUMA, MO",30901.073559845026,Project management specialists,167161.0,85846.81864248517,5.031471321942685
1336,"Memphis (North) & Bartlett (Southwest) Cities PUMA, TN",30891.265182738065,Postal service mail carriers,445762.6966292135,40916.01652746223,4.610868409763915
1468,"Navajo Nation PUMA, NM",30887.571629292623,Physicians,349518.47222222225,206831.79290917717,4.9555792162618895
1200,"Lauderhill & Lauderdale Lakes Cities PUMA, FL",30855.09896301692,General & operations managers,123597.83333333331,78932.01272296738,4.719257754522788
978,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA, MO",30842.914487055557,Surgeons,421448.3333333333,282720.32402206364,4.793482698025011
110,"Barren River Area Development District (Outer) PUMA, KY",30841.797036807788,Dentists,151964.55128205128,127707.80053807772,5.136615077842202
430,"Coastal Bend COG (Southeast) & Willacy County PUMA, TX",30840.89624117946,Physicians,474129.4166666667,206831.79290917717,4.444813394782353
1161,"Laclede, Polk, Benton, Dallas & Hickory Counties PUMA, MO",30840.842555974737,"Lawyers, & judges, magistrates, & other judicial workers",421448.3529411765,124478.50814810928,4.678373156078691
510,"Cumberland Valley Area Development District (South) PUMA, KY",30834.03763251614,Physician assistants,403212.5833333333,92251.10058815022,4.485524509368078
2304,"West of Pasadena City & Outside Loop I-610 PUMA, TX",30820.614434452644,"Graders & sorters, agricultural products",273536.1818181818,14749.237876642408,4.70343308279492
388,"Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA, IL",30791.32450624208,Tutors,239090.8842105263,7886.36983348715,4.5675026336657085
13,"Alamo Area COG (Southwest) PUMA, TX",30782.064299665468,Civil engineers,162095.51304347825,78192.060073669,4.831672377012695
1063,"Jasper, Starke, Fulton, Newton & Pulaski Counties PUMA, IN",30723.34504153525,"Power plant operators, distributors, & dispatchers",161082.42016806724,77072.03539917499,4.991042716103894
280,"Caldwell & Nampa (South & West) Cities PUMA, ID",30708.145074472664,Software developers,177292.0,105223.46968687043,4.7631349803623735
2008,"South Texas Development Council (South) & Coastal Bend COG (West) PUMA, TX",30699.31064083866,Photographers,141833.575,18706.69295753645,4.64055184594837
590,"Douglas, Edgar, Coles & Cumberland Counties PUMA, IL",30695.234171234966,Chief executives & legislators,112762.10869565218,141283.83645852594,5.123025213313843
1233,"Lincoln City (North) PUMA, NE",30691.34739003623,Physicians,204645.59477124183,206831.79290917717,5.1358779059151125
2046,"Springfield City (North) PUMA, MO",30615.551923397175,Surgeons,421448.3466666667,282720.32402206364,4.909176284201037
783,"Garland, Hot Spring, Clark & Montgomery Counties PUMA, AR",30570.95084007764,Insurance sales agents,132302.96666666667,53854.68649385349,4.970193134296916
2188,"Tucson City (South) PUMA, AZ",30567.888849153664,Project management specialists,417395.97297297296,85846.81864248517,4.713256847939019
1148,"LA City (South Central/Westmont) PUMA, CA",30556.82514443078,Detectives & criminal investigators,141833.5754189944,69472.63203857554,5.014286618238205
473,"Columbus City (Northeast) PUMA, OH",30527.56489959772,"Lawyers, & judges, magistrates, & other judicial workers",151964.56,124478.50814810928,4.966769222035871
1768,"Putnam, Overton, Jackson, Clay & Pickett Counties PUMA, TN",30485.371396711966,Physicians,313770.6285714286,206831.79290917717,4.9561261490039
758,"Fresno City (East Central) PUMA, CA",30460.840054726432,Nurse practitioners & nurse midwives,141833.58333333334,87225.35349109002,4.832072590980684
2031,"Southwest Georgia Regional Commission (West & Central) PUMA, GA",30443.30421060157,Other assemblers and fabricators,189768.5197740113,28336.09847510464,4.9956047085339605
2,"Ada City PUMA, OK",30440.054794358442,Chief executives & legislators,323841.389380531,141283.83645852594,4.970401768558834
1631,"Oxford, Somerset, Franklin & Piscataquis Counties PUMA, ME",30391.633136640023,Physicians,241483.02006688964,206831.79290917717,5.154998585278203
461,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA, FL",30361.033142753822,General & operations managers,320319.7765363128,78932.01272296738,5.13179355163296
2013,"South of I-30 & West of I-635 PUMA, TX",30354.673784449424,Budget analysts,126637.12612612612,69666.63007916698,4.732364237719517
1371,"Middle Rio Grande Development Council PUMA, TX",30322.278667653703,Other grounds maintenance workers,285525.4364640884,21836.04791224345,4.757970539730234
103,"Bakersfield City (Southeast) PUMA, CA",30298.590091358106,Court reporters and simultaneous captioners,95231.11961722487,41302.23245893465,4.509463306002214
249,"Brownsville City (Central) PUMA, TX",30255.095831295024,Physicians,151964.5652173913,206831.79290917717,4.887318008601099
1317,"Maryvale (West) PUMA, AZ",30206.473954313766,Bakers,417395.9607843137,18032.102304517404,4.7735102108935505
1881,"San Bernardino City (West) PUMA, CA",30181.316228048327,Public relations specialists,177291.95833333334,65890.44220114923,5.0207783435104885
511,"Cumberland, White, Fentress & Van Buren Counties PUMA, TN",30140.91624417899,Optometrists,445762.6776859504,91038.6455644665,4.739331560765548
1196,"Las Vegas City (Southeast) PUMA, NV",30139.677481901817,Occupational therapists,141833.58208955225,55173.350408930695,4.873675751590132
181,"Bingham (Outside Fort Hall AIR), Madison, Jefferson, Fremont & Teton Counties PUMA, ID",30139.135890298032,Physicians,254920.5208333333,206831.79290917717,4.898896870922298
1681,"Pharr, San Juan & Hidalgo Cities PUMA, TX",30124.905765791802,Pharmacists,323199.9619565217,88632.34688145593,4.620686136754062
288,"Campbell, Claiborne, Scott, Morgan & Hancock Counties PUMA, TN",30117.256003188406,Industrial production managers,202619.41379310345,77305.98243070339,4.876318572447885
408,"Clarke CountyAthens City PUMA, GA",30055.047877828543,Surgeons,477168.6666666667,282720.32402206364,4.843755198808487
